epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,0.546808637102445,0.8062083333333333,0.355461984872818,0.8715000152587891,55.85
2,0.36450192946195603,0.8708125,0.2849293351173401,0.893833339214325,62.08
3,0.3194948031703631,0.8871458333333333,0.2546912431716919,0.909333348274231,45.85
4,0.2849701405465603,0.8982916666666667,0.24426017701625824,0.9118333458900452,47.58
5,0.25980347152551014,0.9083333333333333,0.2563123106956482,0.9085833430290222,45.07
6,0.24459498717387518,0.9134375,0.23350434005260468,0.9171666502952576,52.6
7,0.23024033870299657,0.9189166666666667,0.22805973887443542,0.9202499985694885,45.99
8,0.21210541035731634,0.9257291666666667,0.23455049097537994,0.9166666865348816,45.34
9,0.20512981969614824,0.9256458333333333,0.22691920399665833,0.9163333177566528,44.26
10,0.19448762073616188,0.9300416666666667,0.21940958499908447,0.9239166378974915,44.61
11,0.18187561722099782,0.9341875,0.21509495377540588,0.9235000014305115,47.55
12,0.17679622239867845,0.9357083333333334,0.21531878411769867,0.9243333339691162,44.55
13,0.16723546421527863,0.9384166666666667,0.24384891986846924,0.9229166507720947,43.92
14,0.16079805665214855,0.9408541666666667,0.22042112052440643,0.9259999990463257,44.76
15,0.14803263321767252,0.9438125,0.2183857262134552,0.9274166822433472,43.76
