epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,0.6397712861166631,0.7633541666666667,0.4928676245483928,0.8314166666666667,225.4
2,0.44579333897267803,0.8366458333333333,0.43111862062902334,0.8515833333333334,226.98
3,0.39357651220316325,0.8571875,0.39628460568381924,0.8611666666666666,232.58
4,0.362879985425036,0.8667083333333333,0.3709682547300272,0.8705833333333334,226.38
5,0.32914489467201097,0.881,0.34819139112115144,0.8801666666666667,225.54
6,0.31892822036527363,0.8844583333333333,0.34130982237534324,0.8813333333333333,226.19
7,0.31029361319531484,0.8879791666666667,0.3343778343106804,0.883,228.52
8,0.30255907397550885,0.89075,0.3295294614108214,0.8839166666666667,226.37
9,0.29534562518563395,0.8931458333333333,0.3248009522413357,0.8858333333333334,224.69
10,0.28864055725975335,0.8954166666666666,0.3200254240294382,0.8875833333333333,224.47
11,0.2824114728034137,0.8975208333333333,0.3155193416556106,0.8878333333333334,224.54
12,0.27651127761298616,0.8995833333333333,0.3119761015311127,0.8903333333333333,222.22
13,0.2709567522669227,0.9021458333333333,0.30938266669753495,0.8915833333333333,219.88
14,0.2657248361845855,0.9039583333333333,0.30672588143834256,0.8925,227.44
15,0.26059277453744256,0.9056875,0.30414590844575845,0.8929166666666667,226.01
16,0.25580101256201554,0.9075833333333333,0.30136790852807455,0.89375,225.28
17,0.2513117416793327,0.9085833333333333,0.29956036626426247,0.8939166666666667,229.28
18,0.24696216447984973,0.90975,0.2973190847870894,0.8944166666666666,228.63
19,0.23176625594247943,0.9166458333333334,0.28482420186156426,0.8983333333333333,229.6
20,0.22959232900960477,0.9172291666666667,0.28425773979142016,0.8985833333333333,221.59
21,0.22831475567006262,0.9178333333333333,0.2837745546189939,0.8985,222.4
