epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,0.7563056985662694,0.7930208333333333,1.0423077295149106,0.775,0.5404
2,1.027838046057529,0.7750833333333333,0.8546642416452002,0.7911666666666667,0.3234
3,0.8216441986420319,0.7975416666666667,0.8885091369494186,0.78225,0.2838
4,0.8694261566642097,0.7829791666666667,0.9772855957890697,0.7929166666666667,0.2418
5,0.943983663408981,0.7994166666666667,0.7062846827376265,0.8013333333333333,0.2216
6,0.6816326637664153,0.8042291666666667,0.8752051050035763,0.80425,0.2353
7,0.8420237738189388,0.8075833333333333,0.7452414661099488,0.7731666666666667,0.2468
8,0.7177528057756674,0.7789166666666667,1.3045896803050718,0.792,0.2265
9,1.2764528900939496,0.795625,0.6933453189861044,0.79625,0.2217
10,0.6602299046788525,0.8034583333333334,0.794746911849991,0.794,0.2219
11,0.7768039687028341,0.7972708333333334,0.9403757451561173,0.7685833333333333,0.248
12,0.9072215983508016,0.7726875,1.0804673427421425,0.7628333333333334,0.2262
13,1.063900263719392,0.7671458333333333,1.4971913417665712,0.7263333333333334,0.2227
14,1.468059193754857,0.7315416666666666,1.375934429163121,0.7900833333333334,0.2205
15,1.3473696803618993,0.7935,0.771216965239328,0.78775,0.2294
16,0.7369967953273469,0.7939375,0.8939374940385346,0.785,0.2337
17,0.8767664681110664,0.785625,0.818488464974276,0.781,0.2238
18,0.7839828669316694,0.788,1.0799027729479118,0.771,0.2201
19,1.0667679273862558,0.7743333333333333,0.8162982703556354,0.7911666666666667,0.2257
20,0.7827604082391351,0.7972291666666667,0.9285764872656437,0.7819166666666667,0.2405
21,0.9115737576343776,0.7818958333333333,0.8952124882145269,0.788,0.2217
22,0.8614814148958032,0.7957916666666667,0.878521544018751,0.7836666666666666,0.2221
23,0.8583926035170155,0.7850833333333334,0.9587757726009012,0.79675,0.2237
24,0.9251090160266928,0.8025416666666667,0.6895465796499429,0.8005833333333333,0.2514
25,0.6638526371266417,0.8043333333333333,0.9105291340832854,0.8046666666666666,0.2267
26,0.8772228727307879,0.8071458333333333,0.7112038306016063,0.7791666666666667,0.2252
27,0.6824603083038452,0.7861458333333333,1.2260563129592026,0.7911666666666667,0.2235
28,1.1980152290996697,0.795625,0.7305209876974093,0.7875,0.2242
29,0.6966214738033801,0.7941041666666667,0.8891238746871964,0.7763333333333333,0.2385
30,0.871808196871488,0.7829791666666667,1.3575023751579889,0.7359166666666667,0.2215
31,1.3277521841146394,0.7386875,1.3632811836822432,0.7903333333333333,0.2287
32,1.3363340623869142,0.791625,0.8281004641377436,0.7768333333333334,0.2827
33,0.7926863976557509,0.783625,1.0083732038585143,0.7743333333333333,0.2379
34,0.9938362780973202,0.7760833333333333,0.8570110504038043,0.7803333333333333,0.2367
35,0.8223493765450183,0.7848125,0.9521933007545215,0.7775833333333333,0.2248
36,0.9367992397470084,0.7833958333333333,1.041519198180549,0.7675833333333333,0.2256
37,1.008790118648448,0.7722708333333334,1.032851127631608,0.7831666666666667,0.2525
38,1.0113993073405365,0.7863958333333333,1.1334976555254517,0.7469166666666667,0.2215
39,1.1028384916074814,0.7505416666666667,1.2922240821614224,0.7825,0.224
40,1.2695169657221221,0.7851458333333333,0.9242092184766301,0.76775,0.2253
41,0.8891489764088216,0.772625,0.9952990736749169,0.7695833333333333,0.2218
42,0.9803269195767889,0.7746666666666666,1.2083680042388867,0.748,0.233
43,1.177813587273301,0.7531041666666667,1.2472395857251382,0.7903333333333333,0.224
44,1.2211522209187535,0.7922083333333333,0.8086421472710952,0.78175,0.2239
45,0.7740459932645796,0.7855833333333333,0.9128128744299938,0.7788333333333334,0.2199
46,0.8968729008165366,0.7838958333333333,1.09799169531749,0.7571666666666667,0.2346
47,1.0665817204704244,0.7621666666666667,1.1583638500877187,0.78575,0.2241
48,1.1352164058352583,0.7877083333333333,0.9243246497944521,0.76725,0.2237
49,0.8911762252999326,0.7716875,1.0190757350788844,0.7736666666666666,0.2198
50,1.0011179807269577,0.7772708333333334,1.3018317535132096,0.7329166666666667,0.2372
51,1.2729041688509224,0.7386875,1.3794981128419037,0.7913333333333333,0.2377
52,1.352168551322823,0.793375,0.780161845067786,0.7875,0.2284
53,0.7460310427909969,0.794875,0.9145325218556163,0.7853333333333333,0.2247
54,0.8978870089547923,0.7861875,0.8198239533102911,0.78675,0.2508
55,0.7858999774128551,0.7945416666666667,1.0613665975540962,0.77475,0.2348
56,1.046112590071298,0.7730208333333334,0.9505261825214852,0.7979166666666667,0.2249
57,0.9176650768828414,0.803125,0.7053827235333998,0.8038333333333333,0.2214
58,0.6809502441917445,0.8052291666666667,0.881653899635501,0.80375,0.221
59,0.848478695143642,0.8078333333333333,0.7401847752504167,0.7853333333333333,0.2327
60,0.7142506692207106,0.7905,1.1228121046145751,0.7994166666666667,0.2262
61,1.0903533450780973,0.8023958333333333,0.5758474669120328,0.8223333333333334,0.2212
62,0.5471364186545378,0.8274166666666667,0.6108552195136043,0.8270833333333333,0.2751
63,0.5801829339123146,0.8313541666666666,0.7826441665245839,0.765,0.2525
