epoch,batch,loss
1,0,2.840380257938299
1,50,1.3105398647067887
1,100,0.8907065998153895
1,150,1.02282364818619
1,200,0.568398785447418
1,250,0.730001083765615
1,300,0.8062196437210621
1,350,0.7663602170426314
1,400,0.936236333758717
1,450,0.3678239719124685
1,500,0.6093374581980815
1,550,0.5975356328255232
1,600,0.6295164761782249
1,650,0.4072575922696029
1,700,0.4994594747915472
1,750,0.7812636136550688
1,800,0.9018424305290512
1,850,0.5468191506822551
1,900,0.568644074374018
1,950,0.4022556834126964
1,1000,0.4754050558485993
1,1050,0.4361144688919056
1,1100,0.5431115344287769
1,1150,0.5438813858368974
1,1200,0.5040034887885427
1,1250,0.4546160191518006
1,1300,0.2594958988783378
1,1350,0.442545153601758
1,1400,0.3700714386552476
1,1450,0.4354797353045356
2,0,0.5672170199466158
2,50,0.4104367640496378
2,100,0.5087759835716893
2,150,0.3877340964423891
2,200,0.2547252499759694
2,250,0.3373083638264867
2,300,0.5651265436864272
2,350,0.3666160208790596
2,400,0.6424535512445164
2,450,0.2880563680614343
2,500,0.3732577606276264
2,550,0.5093965110802313
2,600,0.4606909740507371
2,650,0.2499454796323487
2,700,0.3333239535402163
2,750,0.5885281966223452
2,800,0.6987903385447632
2,850,0.4635202292848522
2,900,0.4115138055617166
2,950,0.3292226351042949
2,1000,0.3960323852576779
2,1050,0.3990406696229984
2,1100,0.4348702158309786
2,1150,0.4964587324101484
2,1200,0.3974812393949435
2,1250,0.4159758264351877
2,1300,0.1880130290486897
2,1350,0.3652214987970595
2,1400,0.3283030586728993
2,1450,0.4161408458419167
3,0,0.4810891876647588
3,50,0.371588180053002
3,100,0.4365424336371534
3,150,0.2820902017313695
3,200,0.2147381844461464
3,250,0.2974167073185729
3,300,0.4499210639980707
3,350,0.3117292842368531
3,400,0.587022600687284
3,450,0.2797512842051601
3,500,0.3024423959185104
3,550,0.5054588687980996
3,600,0.385861636137919
3,650,0.2252424548926919
3,700,0.257766970933397
3,750,0.5240755413772824
3,800,0.6285804634101364
3,850,0.44553639890492
3,900,0.3523666596756926
3,950,0.3030577678339036
3,1000,0.3677173406317693
3,1050,0.3542603218536916
3,1100,0.3775649445391404
3,1150,0.46497136419377
3,1200,0.3540296656305226
3,1250,0.3775725974499676
3,1300,0.1604498546223358
3,1350,0.33036222128409
3,1400,0.2996366353576686
3,1450,0.392444117039455
4,0,0.4460675857511845
4,50,0.3525427009282241
4,100,0.4120999013027405
4,150,0.2397933748920998
4,200,0.1994395319634205
4,250,0.2660092736601006
4,300,0.3955788476301362
4,350,0.2856401404221644
4,400,0.5438030587267075
4,450,0.2728227878905139
4,500,0.2764286968112018
4,550,0.5176107873246285
4,600,0.3450511256480066
4,650,0.2121410564487139
4,700,0.2268616014948387
4,750,0.5007812915452676
4,800,0.6068613124188336
4,850,0.4482561830523608
4,900,0.3134729814419653
4,950,0.2902886019002444
4,1000,0.3669586902860587
4,1050,0.3321787049957219
4,1100,0.3331069129145712
4,1150,0.4379143366682216
4,1200,0.3180812636961029
4,1250,0.3468313826529519
4,1300,0.1439678903452381
4,1350,0.314891376206819
4,1400,0.2706094611436316
4,1450,0.3682392053417624
5,0,0.4227870455439113
5,50,0.3479738460875077
5,100,0.3708971016758288
5,150,0.2282642934333614
5,200,0.1858781915764301
5,250,0.2234532578366637
5,300,0.3346218252680615
5,350,0.2586883770088459
5,400,0.4977377193275817
5,450,0.2423339060204915
5,500,0.2301159346121546
5,550,0.5205353046173598
5,600,0.3157607929452448
5,650,0.2187354516768833
5,700,0.1978248507061725
5,750,0.458008949054227
5,800,0.5690702903312705
5,850,0.4297138410521512
5,900,0.2855598510367877
5,950,0.272609471900149
5,1000,0.3144620445774609
5,1050,0.3119512052849193
5,1100,0.3165779819612312
5,1150,0.408979270211533
5,1200,0.3093489267348641
5,1250,0.3206713756180632
5,1300,0.0990878938391667
5,1350,0.3010561069321389
5,1400,0.2561807140646189
5,1450,0.3653431152965536
6,0,0.4264475083248965
6,50,0.3377973510387566
6,100,0.3623322060216828
6,150,0.2074656976577067
6,200,0.1741116343291489
6,250,0.2157130536721337
6,300,0.316129807274577
6,350,0.2427851614714074
6,400,0.4864253042730094
6,450,0.2450816781970249
6,500,0.216129243525135
6,550,0.5043850023900114
6,600,0.2898791868003809
6,650,0.218009971991925
6,700,0.1871391258571827
6,750,0.4538838857896736
6,800,0.5541972602804797
6,850,0.4221382664683651
6,900,0.2741507792069748
6,950,0.2620000757780956
6,1000,0.3191449239464086
6,1050,0.2965860300118144
6,1100,0.3061617709082236
6,1150,0.4001052505980846
6,1200,0.305405832783598
6,1250,0.3120254859623686
6,1300,0.0931727287970121
6,1350,0.2938257281425309
6,1400,0.2462820021466701
6,1450,0.350436428157489
7,0,0.4227541485137507
7,50,0.3363575631664451
7,100,0.3560828668547502
7,150,0.1921961154684917
7,200,0.1669579251385875
7,250,0.2072193221864594
7,300,0.3086521265053534
7,350,0.2333796630112088
7,400,0.473252187245192
7,450,0.2423801760304633
7,500,0.2149923311874471
7,550,0.5048869812276032
7,600,0.2784662973550252
7,650,0.2116382093092059
7,700,0.1810099533264643
7,750,0.4472016470358035
7,800,0.5477210348069541
7,850,0.4194695100731933
7,900,0.2631800995996347
7,950,0.2579375177594796
7,1000,0.3171239070784604
7,1050,0.2861687313666453
7,1100,0.2979604190344986
7,1150,0.3951351886208669
7,1200,0.295830373885636
7,1250,0.3016371583946537
7,1300,0.0880647108677294
7,1350,0.2853674387135774
7,1400,0.2400866339821555
7,1450,0.3400869584650988
8,0,0.4205790185364589
8,50,0.3265259021227658
8,100,0.3454159922706687
8,150,0.1842633857806098
8,200,0.1600452025137807
8,250,0.2016707743391871
8,300,0.3004922593424594
8,350,0.2215230817609332
8,400,0.4630520453261456
8,450,0.2406040328144206
8,500,0.2123264884648692
8,550,0.500150747184043
8,600,0.2712082240265772
8,650,0.2050407991963985
8,700,0.175356964359035
8,750,0.446367174651378
8,800,0.5364280863606217
8,850,0.4141871576809064
8,900,0.2581101747079007
8,950,0.2506782364739588
8,1000,0.3158468644446068
8,1050,0.2751226084875285
8,1100,0.2885135312353267
8,1150,0.3874769783278262
8,1200,0.2873713923816704
8,1250,0.2927473999862129
8,1300,0.0853215058775648
8,1350,0.2770645267198657
8,1400,0.2340116357783753
8,1450,0.3287059524752251
9,0,0.4236752837569421
9,50,0.3214930919517619
9,100,0.3351048823558348
9,150,0.1754860821475017
9,200,0.1561696192468612
9,250,0.1969765683744466
9,300,0.2946466374920546
9,350,0.2129362302813381
9,400,0.4582645443512411
